Row #,Species,Count,Location,S/P,Date,LocID,SubID
41,Greater Adjutant,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
42,Painted Stork,4,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
43,Little Cormorant,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
44,Great Cormorant,7,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
45,Indian Cormorant,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
46,Oriental Darter,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
47,American White Pelican,1,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
48,Brown Pelican,2,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
49,Spot-billed Pelican,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
50,Yellow Bittern,1,"Avathanapatti Lake, Krishnagiri",IN-TN,02 Jul 2016,L2777256,S30522108
51,Cinnamon Bittern,1,Hoskote Lake,IN-KA,23 Apr 2017,L1967106,S36817918
52,Black Bittern,2,"Avathanapatti Lake, Krishnagiri",IN-TN,02 Jul 2016,L2777256,S30522108
53,Gray Heron,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
54,Purple Heron,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
55,Great Egret,2,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
56,Intermediate Egret,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
57,Little Egret,11,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
58,Western Reef-Heron,1,Hennagara Lake,IN-KA,06 Nov 2016,L2638593,S32396697
59,Snowy Egret,1,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
60,Cattle Egret,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
61,Indian Pond-Heron,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
62,Striated Heron,1,Madras Crocodile Bank Trust,IN-TN,25 Oct 2015,L1945692,S31674721
63,Black-crowned Night-Heron,4,Bannerghatta Zoo area,IN-KA,18 Jan 2015,L2576683,S21393248
64,Glossy Ibis,1,Sira Lake and wetlands,IN-KA,01 Feb 2015,L3331606,S21629398
65,Black-headed Ibis,1,Sira Lake and wetlands,IN-KA,01 Feb 2015,L3331606,S21629398
66,Red-naped Ibis,5,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
67,Eurasian Spoonbill,1,"Kaikondrahalli Kere, Bangalore",IN-KA,25 Jan 2015,L2525724,S21547422
68,Osprey,1,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
69,Black-shouldered Kite,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
70,Egyptian Vulture,1,Sira Lake and wetlands,IN-KA,01 Feb 2015,L3331606,S21629398
71,Oriental Honey-buzzard,1,"Hulimangala, Bangalore",IN-KA,16 Nov 2014,L2591349,S32125659
72,Black Baza,1,Thattekad bird sanctuary Urulanthanni,IN-KL,05 Mar 2017,L5719986,S36093641
73,Red-headed Vulture,1,Bandipur Jungle Lodges,IN-KA,22 Aug 2015,L3867994,S24749677
74,White-rumped Vulture,2,Bandipur Jungle Lodges,IN-KA,22 Aug 2015,L3867994,S24749677
75,Indian Vulture,1,Ramanagara Vulture Sanctuary,IN-KA,07 Feb 2015,L3601857,S23141984
76,Slender-billed Vulture,5,Panidihing Bird Sanctuary,IN-AS,11 Apr 2016,L5089484,S32606784
77,Himalayan Griffon,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
78,Eurasian Griffon,6,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
79,Crested Serpent-Eagle,1,Ranganthittu Bird Santuary,IN-KA,05 Apr 2015,L3540081,S22696819
80,Short-toed Snake-Eagle,1,"Galibore Fishing Camp, Karnataka",IN-KA,19 Apr 2015,L3556994,S22938127
81,Changeable Hawk-Eagle,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
82,Crested Hawk-Eagle,1,"Galibore Fishing Camp, Karnataka",IN-KA,19 Apr 2015,L3556994,S22938127
